FourFactorsRAPM

playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey
101106,"Andrew Bogut",-3.6,738,1.32,129,-4.92,777,0.01,349,0.33,165,-0.34,608,-1.72,648,0.89,182,-2.61,744,1.06,143,0.93,90,0.13,310,-0.52,648,-0.09,482,-0.43,679,-0.5,511,0.54,176,-1.04,672,"2017-20",-1,"N/A","101106_2017-20"
1627788,"Furkan Korkmaz",0.22,336,-0.6,517,0.82,208,-0.46,583,-0.6,680,0.14,238,-0.54,489,-1.83,690,1.29,120,0.85,177,0.84,104,0.01,366,0.78,70,0.07,305,0.71,35,-0.19,434,-0.88,660,0.69,140,"2017-20",-1,"N/A","1627788_2017-20"
201975,"Jodie Meeks",-1.25,557,-1.99,706,0.74,220,-1.14,731,-0.55,669,-0.59,686,-2.96,735,-3.94,769,0.98,155,-1.22,647,-0.43,575,-0.78,616,-0.25,568,-0.25,597,0.01,397,-1.83,705,-1.22,706,-0.61,595,"2017-20",-1,"N/A","201975_2017-20"
203101,"Miles Plumlee",-1.72,613,0.98,177,-2.7,737,-0.75,667,-0.37,624,-0.38,622,2.45,80,3.82,18,-1.38,654,0.76,190,0.71,129,0.04,350,-1.52,767,-0.53,692,-0.99,767,-2.01,722,-0.29,521,-1.72,740,"2017-20",-1,"N/A","203101_2017-20"
101107,"Marvin Williams",1.62,162,1.11,161,0.51,267,-0.3,529,0.03,340,-0.32,601,1.58,135,2.11,66,-0.53,537,0.09,342,-0.05,429,0.14,306,-0.04,438,-0.14,533,0.1,275,0.51,209,0.35,221,0.15,268,"2017-20",-1,"N/A","101107_2017-20"
203210,"JaMychal Green",-0.98,515,-0.28,453,-0.7,521,-0.8,681,-0.11,498,-0.68,703,-3.51,754,-3.04,748,-0.47,524,3.6,18,2.1,8,1.5,56,-1.33,757,-0.63,721,-0.7,738,-1.81,703,-0.55,594,-1.26,700,"2017-20",-1,"N/A","203210_2017-20"
101108,"Chris Paul",6.96,8,2.49,51,4.47,15,1.99,15,0.01,359,1.98,6,1.63,130,2.3,56,-0.66,567,-1.96,719,-0.76,647,-1.2,695,2.83,1,1.15,13,1.68,1,5.86,3,1.59,53,4.27,5,"2017-20",-1,"N/A","101108_2017-20"
101109,"Raymond Felton",0.42,304,0.24,323,0.18,322,-0.14,456,0.63,88,-0.77,725,-1.05,574,-0.31,481,-0.74,581,-2.05,725,-0.54,601,-1.51,727,0.91,52,0.54,78,0.37,111,-0.57,530,0.8,128,-1.37,710,"2017-20",-1,"N/A","101109_2017-20"
101139,"CJ Miles",1.59,163,-0.22,432,1.82,109,-0.03,359,0.49,124,-0.51,664,-4.22,770,-4.12,772,-0.1,416,-2.46,752,-1.81,764,-0.65,591,1.01,45,0.56,75,0.45,87,-0.31,467,-0.06,408,-0.25,479,"2017-20",-1,"N/A","101139_2017-20"
101141,"Ersan Ilyasova",3.99,48,2.29,61,1.7,115,-0.34,539,-0.36,618,0.03,328,-1.18,591,0.58,225,-1.76,696,1.71,75,0.94,87,0.77,145,0.84,60,0.47,93,0.38,109,1.92,74,0.61,155,1.31,76,"2017-20",-1,"N/A","101141_2017-20"
1627819,"Isaiah Taylor",-0.25,413,0.5,267,-0.74,533,0.73,120,0.42,144,0.31,169,3.29,43,0.5,243,2.79,37,-0.16,430,0.43,194,-0.6,577,-0.39,605,-0.11,509,-0.28,615,1.12,132,0.76,135,0.36,206,"2017-20",-1,"N/A","1627819_2017-20"
1627820,"Tyrone Wallace",-0.34,431,-0.93,580,0.6,250,0.79,111,0.8,58,0.01,365,-2.23,691,-4.91,775,2.68,40,-1,614,-1.17,719,0.17,297,0.01,402,0.31,150,-0.32,633,0.48,214,0.74,137,-0.26,484,"2017-20",-1,"N/A","1627820_2017-20"
1629625,"Justin Wright-Foreman",0.14,354,0.18,339,-0.05,374,0.01,341,0.03,345,-0.03,388,0.19,313,0.03,370,0.16,313,0.01,376,0.02,388,-0.02,387,0.01,396,0.01,396,0.01,382,0.05,332,0.05,341,0.01,350,"2017-20",-1,"N/A","1629625_2017-20"
1629677,"Luka Samanic",0.01,371,-0.05,392,0.06,349,0.01,333,0.06,314,-0.05,410,0.33,285,0.17,318,0.16,312,0.01,370,0.28,253,-0.27,507,0.06,335,-0.02,411,0.09,287,0.1,303,0.15,291,-0.05,377,"2017-20",-1,"N/A","1629677_2017-20"
1629683,"Quinndary Weatherspoon",0.08,363,0.01,380,0.07,344,-0.04,368,0.01,381,-0.04,396,0.25,297,0.08,352,0.17,310,0.25,287,0.32,234,-0.07,411,0.01,397,0.01,399,0.01,380,0.05,330,0.11,308,-0.06,385,"2017-20",-1,"N/A","1629683_2017-20"
201152,"Thaddeus Young",2.7,91,2.34,58,0.36,292,-0.41,564,-0.31,595,-0.1,458,-0.36,449,1.48,124,-1.84,701,-0.42,490,-1.75,761,1.33,65,1.89,3,1.88,1,0.01,379,0.99,148,1.17,90,-0.17,450,"2017-20",-1,"N/A","201152_2017-20"
101112,"Channing Frye",-0.3,421,-0.75,546,0.46,276,-0.39,561,-0.47,650,0.08,277,1.15,170,0.5,245,0.65,206,-1.73,700,-0.38,558,-1.35,706,0.07,330,-0.38,640,0.45,90,-0.38,487,-0.87,656,0.49,178,"2017-20",-1,"N/A","101112_2017-20"
1629743,"Donta Hall",-0.9,497,0.06,367,-0.96,568,-0.37,553,-0.39,631,0.02,339,-2.97,736,-2.76,735,-0.22,457,0.29,280,0.04,367,0.25,272,0.27,214,0.26,172,0.01,390,-0.25,448,-0.24,500,0.01,348,"2017-20",-1,"N/A","1629743_2017-20"
2594,"Kyle Korver",4.09,44,1.23,145,2.87,47,2.14,14,0.57,103,1.56,14,0.62,242,0.52,239,0.11,334,0.36,264,1.15,63,-0.79,617,-0.9,714,-0.62,719,-0.28,618,2.25,65,1.03,101,1.22,82,"2017-20",-1,"N/A","2594_2017-20"
1627827,"Dorian Finney-Smith",0.85,236,-0.3,459,1.15,174,0.62,137,0.62,90,0.01,363,1.14,176,0.56,229,0.57,222,0.05,355,-1.12,715,1.18,81,-0.22,561,-0.32,625,0.09,280,0.88,158,0.25,248,0.63,152,"2017-20",-1,"N/A","1627827_2017-20"
202951,"Jeremy Pargo",-1.11,535,-0.75,548,-0.36,449,0.04,319,-0.04,430,0.08,278,-0.05,370,-0.15,435,0.1,338,-0.49,511,-0.06,437,-0.43,545,0.06,343,0.03,340,0.02,359,0.03,341,-0.05,405,0.08,300,"2017-20",-1,"N/A","202951_2017-20"
