FourFactorsRAPM

playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey
1628382,"Justin Jackson",-1.24,702,-0.98,732,-0.26,524,-0.1,507,-0.07,540,-0.03,455,-1.71,827,1.37,127,-3.08,922,-1.67,871,0.13,358,-1.8,922,0.28,256,-0.58,861,0.86,30,-0.55,557,-0.47,588,-0.08,488,"2015-20",-1,"N/A","1628382_2015-20"
201156,"Nick Young",-1.71,782,-1.62,840,-0.09,471,-0.91,838,-0.72,856,-0.2,631,1.58,123,0.27,312,1.32,114,-1.15,804,-0.25,644,-0.91,813,0.33,223,-0.05,533,0.38,136,-1.43,703,-1.58,798,0.14,411,"2015-20",-1,"N/A","201156_2015-20"
203923,"James Young",-0.85,645,-0.58,639,-0.28,532,-1.1,869,-0.44,783,-0.66,829,0.29,331,0.08,374,0.21,344,-0.2,541,0.55,150,-0.75,770,0.11,362,-0.19,681,0.3,178,-3.77,888,-1.81,829,-1.95,819,"2015-20",-1,"N/A","203923_2015-20"
203925,"Joe Harris",0.44,335,-1.67,850,2.11,81,1.56,46,0.37,187,1.19,35,-0.45,583,-0.1,488,-0.35,622,1.23,113,1.41,30,-0.18,573,-1.76,931,-1.11,927,-0.64,887,0.79,311,-0.73,648,1.51,144,"2015-20",-1,"N/A","203925_2015-20"
1626224,"Cedi Osman",-0.93,660,-1.4,805,0.47,300,-0.44,696,-1.05,907,0.61,127,1.25,165,1.64,98,-0.4,632,-1.48,851,-1.04,882,-0.44,676,-0.56,804,-0.43,811,-0.13,643,-1.79,752,-2.69,891,0.9,239,"2015-20",-1,"N/A","1626224_2015-20"
1628383,"Justin Patton",-1.3,714,-1.01,735,-0.29,537,-0.09,499,-0.07,541,-0.02,437,-0.43,577,-0.13,509,-0.3,611,0.07,400,0.13,359,-0.06,504,-0.05,534,-0.06,552,0.01,451,-0.48,546,-0.64,634,0.16,402,"2015-20",-1,"N/A","1628383_2015-20"
1628384,"OG Anunoby",0.35,355,0.21,388,0.14,396,-0.11,516,-0.65,839,0.54,144,0.3,327,2.1,65,-1.81,864,0.24,321,1.13,55,-0.88,804,0.58,135,0.53,93,0.05,389,0.74,319,0.43,329,0.31,358,"2015-20",-1,"N/A","1628384_2015-20"
1626173,"Rashad Vaughn",-3.24,898,-1.12,761,-2.12,872,-0.64,766,-0.03,498,-0.61,821,-1.51,802,-0.97,756,-0.54,673,-0.36,606,-0.39,721,0.03,420,-0.61,816,-0.33,764,-0.28,742,-2.53,820,-1.05,718,-1.48,766,"2015-20",-1,"N/A","1626173_2015-20"
101108,"Chris Paul",8.4,3,2.75,36,5.65,5,3.15,5,0.55,125,2.6,3,2.14,86,1.23,143,0.91,167,-2.15,913,-0.11,570,-2.04,928,3.28,1,1.16,16,2.13,1,9.73,3,2.75,56,6.99,5,"2015-20",-1,"N/A","101108_2015-20"
203526,"Raul Neto",1.67,159,1.26,143,0.41,315,1.93,25,1.14,32,0.79,88,0.51,282,-0.62,679,1.12,139,-0.99,779,-0.33,689,-0.66,746,-0.02,499,0.43,126,-0.45,835,3.92,50,3.22,37,0.7,273,"2015-20",-1,"N/A","203526_2015-20"
