,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,Signed Using,Guaranteed
1,Stephen Curry\curryst01,GSW,$43006362,$45780966,,,,,Bird Rights,$88787328
2,Russell Westbrook\westbru01,WAS,$41358814,$44211146,$47063478,,,,Bird Rights,$85569960
3,Chris Paul\paulch01,PHO,$41358814,$44211146,,,,,Bird Rights,$41358814
4,John Wall\walljo01,HOU,$41254920,$44310840,$47366760,,,,Bird Rights,$85565760
5,James Harden\hardeja01,HOU,$40824000,$43848000,$46872000,,,,Bird Rights,$84672000
6,LeBron James\jamesle01,LAL,$39219565,$41180544,$44474988,,,,Cap Space,$124875097
7,Kevin Durant\duranke01,BRK,$39058950,$40918900,$42778850,,,,Sign and Trade,$79977850
8,Blake Griffin\griffbl01,DET,$36595996,$38957028,,,,,Bird Rights,$36595996
9,Paul George\georgpa01,LAC,$35450412,$39344970,$42492568,$45640165,$48787763,,Maximum Salary,$162928115
10,Klay Thompson\thompkl01,GSW,$35361360,$37980720,$40600080,$43219440,,,Bird Rights,$157161600
11,Mike Conley\conlemi01,UTA,$34504132,,,,,,Cap Space,$34504132
12,Jimmy Butler\butleji01,MIA,$34379100,$36016200,$37653300,,,,Sign and Trade,$70395300
13,Kemba Walker\walkeke02,BOS,$34379100,$36016200,$37653300,,,,Sign and Trade,$70395300
14,Kawhi Leonard\leonaka01,LAC,$34379100,$36016200,,,,,Cap Space,$34379100
15,Tobias Harris\harrito02,PHI,$33517241,$36000000,$38482759,$40965517,,,Bird Rights,$148965517
16,Kyrie Irving\irvinky01,BRK,$33329100,$34916200,$36503300,,,,Cap space,$104748600
17,Khris Middleton\middlkh01,MIL,$33051724,$35500000,$37948276,$40396552,,,Bird Rights,$106500000
18,Anthony Davis\davisan02,LAL,$32742000,$35361360,$37980720,$40600080,$43219440,,Bird,$146684160
19,Damian Lillard\lillada01,POR,$31626953,$43750000,$47250000,$50750000,$54250000,,1st Round Pick,$227626953
20,Kevin Love\loveke01,CLE,$31300000,$31300000,$28900000,,,,Bird Rights,$91500000
21,Kyle Lowry\lowryky01,TOR,$30000000,,,,,,Bird Rights,$30000000
22,Joel Embiid\embiijo01,PHI,$29542010,$31579390,$33616770,,,,1st Round Pick,$94738170
23,Andrew Wiggins\wiggian01,GSW,$29542010,$31579390,$33616770,,,,1st Round Pick,$94738170
24,Kristaps Porziņģis\porzikr01,DAL,$29467800,$31650600,$33833400,$36016200,,,Bird Rights,$94951800
25,Devin Booker\bookede01,PHO,$29430000,$31610000,$33790000,$35970000,,,1st round pick,$130800000
26,Karl-Anthony Towns\townska01,MIN,$29430000,$31610000,$33790000,$35970000,,,1st Round Pick,$128620000
27,CJ McCollum\mccolcj01,POR,$29354152,$30864198,$33333333,$35802469,,,1st Round Pick,$129354152
28,Ben Simmons\simmobe01,PHI,$29250000,$31590000,$33930000,$36270000,$38610000,,1st Round pick,$169650000
29,Jamal Murray\murraja01,DEN,$29250000,$31590000,$33930000,$36270000,$38610000,,1st Round pick,$169650000
30,Pascal Siakam\siakapa01,TOR,$29000000,$31320000,$33640000,$35960000,,,1st Round pick,$129920000
31,Bradley Beal\bealbr01,WAS,$28751775,$34502130,$37262300,,,,Cap Space,$63253905
32,Andre Drummond\drumman01,CLE,$28751775,,,,,,Cap Space,$28751775
33,D'Angelo Russell\russeda01,MIN,$28649250,$30013500,$31377750,,,,Sign and Trade,$90040500
34,Nikola Jokić\jokicni01,DEN,$28542009,$30510423,$32478837,,,,Bird Rights,$91531269
35,Gordon Hayward\haywago01,CHO,$28500000,$29900000,$30100000,$31500000,,,Sign and Trade,$120000000
36,Otto Porter\porteot01,CHI,$28489239,,,,,,Bird Rights,$28489239
37,DeMar DeRozan\derozde01,SAS,$27739975,,,,,,Cap Space,$27739975
38,Giannis Antetokounmpo\antetgi01,MIL,$27528090,$39344970,$42492568,$45640165,$48787763,$51935360,1st Round Pick,$203793556
39,Steven Adams\adamsst01,NOP,$27528090,$17073171,$17926829,,,,1st Round Pick,$62528090
40,Al Horford\horfoal01,OKC,$27500000,$27000000,$26500000,,,,Cap Space,$69000000
41,Brandon Ingram\ingrabr01,NOP,$27285000,$29467800,$31650600,$33833400,$36016200,,Bird,$158253000
42,Nicolas Batum\batumni01,CHO,$29695187,,,,,,,$27130434
43,Rudy Gobert\goberru01,UTA,$26525281,$35344828,$38172414,$41000000,$43827587,$46655173,1st Round Pick,$184870110
44,Jrue Holiday\holidjr01,MIL,$26131111,$27020000,,,,,Bird Rights,$26131111
45,Nikola Vučević\vucevni01,ORL,$26000000,$24000000,$22000000,,,,Bird Rights,$72000000
46,Buddy Hield\hieldbu01,SAC,$24431818,$22477273,$20522727,$18568182,,,1st Round pick,$86000000
47,LaMarcus Aldridge\aldrila01,SAS,$24000000,,,,,,Cap Space,$24000000
48,Jaylen Brown\brownja02,BOS,$22991071,$24830357,$26669643,$28508929,,,1st Round pick,$103000000
49,Draymond Green\greendr01,GSW,$22246956,$24026712,$25806469,$27586225,,,Bird Rights,$72080137
50,Harrison Barnes\barneha02,SAC,$22215909,$20284091,$18352273,,,,Bird Rights,$60852273
51,Fred VanVleet\vanvlfr01,TOR,$21250000,$19675926,$21250000,$22824074,,,Bird,$62175926
52,Victor Oladipo\oladivi01,IND,$21000000,,,,,,1st Round Pick,$21000000
53,Malcolm Brogdon\brogdma01,IND,$20700000,$21700000,$22600000,,,,Sign and Trade,$65000000
54,Danilo Gallinari\gallida01,ATL,$19500000,$20475000,$21450000,,,,Sign and Trade,$44975000
55,Zach LaVine\lavinza01,CHI,$19500000,$19500000,,,,,Cap space,$39000000
56,Gary Harris\harriga01,DEN,$19160714,$20482143,,,,,1st Round Pick,$39642857
57,Jerami Grant\grantje01,DET,$19047619,$20000000,$20952381,,,,Sign and Trade,$60000000
58,Tim Hardaway Jr.\hardati02,DAL,$18975000,,,,,,Cap space,$18975000
59,Terry Rozier\roziete01,CHO,$18900000,$17905263,,,,,Sign and Trade,$36805263
60,Julius Randle\randlju01,NYK,$18900000,$19800000,,,,,Cap Space,$22900000
61,Aaron Gordon\gordoaa01,ORL,$18136364,$16409091,,,,,Bird Rights,$34545455
62,Myles Turner\turnemy01,IND,$18000000,$18000000,$18000000,,,,1st Round pick,$54000000
63,Bogdan Bogdanović\bogdabo01,ATL,$18000000,$18000000,$18000000,$18000000,,,Cap Space,$54000000
64,Goran Dragić\dragigo01,MIA,$18000000,$19440000,,,,,Bird,$18000000
65,Bojan Bogdanović\bogdabo02,UTA,$17850000,$18700000,$19550000,,,,Cap Space,$56100000
66,Gorgui Dieng\dienggo01,MEM,$17287640,,,,,,1st Round Pick,$17287640
67,Domantas Sabonis\sabondo01,IND,$17187500,$18562500,$19937500,$21312500,,,1st Round pick,$77000000
68,Ricky Rubio\rubiori01,MIN,$17000000,$17809524,,,,,Cap Space,$34809524
69,Evan Fournier\fournev01,ORL,$17000000,,,,,,Cap Space,$17000000
70,Eric Bledsoe\bledser01,NOP,$16875000,$18125000,$19375000,,,,Bird Rights,$38900000
71,Eric Gordon\gordoer01,HOU,$16869276,$18218818,$19568360,$20917902,,,Cap Space,$54656454
72,Caris LeVert\leverca01,BRK,$16203704,$17500000,$18796296,,,,1st Round pick,$52500000
73,Joe Harris\harrijo01,BRK,$16071429,$17357143,$18642857,$19928571,,,Bird,$72000000
74,James Johnson\johnsja01,DAL,$16047100,,,,,,Cap space,$16047100
75,Clint Capela\capelca01,ATL,$16000000,$17103448,$18206897,,,,Bird Rights,$51310345
76,Dennis Schröder\schrode01,LAL,$15500000,,,,,,1st Round Pick,$15500000
77,Cody Zeller\zelleco01,CHO,$15415730,,,,,,1st Round Pick,$15415730
